Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1577.1961662774,1541.59066261036,1571.1902261783,1498.95895037787,1433.3886109229,1395.07488456856,1416.10189471212,1420.23877961207,1419.31770917955,1390.46921139078,1421.67987952013,1465.45720342309,1644.39518877632,1717.2145111176,1824.80269456773,1889.25175325817,1949.15856804565,2020.83316299454,2098.28339220667,2204.6072560373,2315.46676509662,2370.97657091803,2403.65387896923,2495.34106573748,2583.6155695814,2585.73360671797,2481.81490350326,2441.71236404487,2431.77857832567,2431.53528472982,2337.57587388074,2372.57314465346,2398.98622787065,2416.36198205178,
"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,6.66894186986168,18.8639068014772,46.7523553581667,41.639058719839,43.2964642936651,75.4016531897357,26.4910898564523,5.05534593106086,6.00934430361066,13.4305716350796,22.6737374008784,10.0764772448642,21.1090500029288,9.80432377665896,20.7276754356968,19.8584947707524,23.8643811265432,7.09973099343016,7.9213872023645,0.686098874594009,26.7507616741542,9.77845809675884,9.94763670635021,4.96474571561274,4.66262291733076,2.86366512298943,9.54367006412473,11.1189180817699,10.2284850865888,10.384779195217,7.84914204720589,10.1310336867347,11.3113349413983,12.6218692275514,
"Foreign direct investment, net balance (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.320681817274718,0.505441571848687,1.2227497384753,1.43274598567313,2.02864142749677,0.102248817054222,-0.052715084128783,0.182526001518882,0.0644483686765673,1.4068762141583,1.40408943743104,1.49098326246406,1.79046457944569,1.75486971965288,1.57243781289872,2.82796307537736,1.90171531035881,1.85737261418696,2.10406651515204,2.38319829400776,1.3936421732454,1.93605484757251,1.19399369741096,0.833547506858151,0.536332499825283,0.330401036005904,0.770493056631535,0.559459236260169,0.049717518016142,0.425649423841126,0.211001284789853,0.339198256170806,-0.0250792810930217,0.444329661955364,
Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,35.5745665665487,35.6981864847331,38.7278219908217,30.7046494544363,19.9354193251077,14.5926997897463,12.1633399070556,12.3016933463931,8.72920595691906,37.947367935874,42.9310059300575,40.282585750237,26.8499843007496,33.3056600049661,38.8871243363936,40.5423629082709,35.7505613280438,36.4535654823438,40.1279881768683,30.7272152994775,34.9423292856474,41.4991143112012,35.7134375825485,28.177304182021,28.1094677845022,19.2516963708397,17.0107868037786,20.1575144413897,24.5540341880582,24.8226887886434,16.5141559252073,22.4009676131574,25.8536072373684,28.7511486470166,
Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS,2.23416091170604,2.11395208375277,1.47025714817099,1.79960691757394,2.34854835531479,3.86942353880894,3.6668713107333,3.19713399773774,3.48801264234771,4.07196799827793,2.19681698856179,2.52879516488245,4.92407720221644,2.45931008565616,2.67723748453569,2.23122494768952,2.82849656539905,2.04228294476477,3.4012644964214,3.27818978939605,3.24994458617827,3.34867122054618,3.38615848101172,3.32059203406989,3.1028480644915,3.77967063844111,4.43562176890317,3.59175064073856,3.95441657763576,3.66673410897471,5.23157630945028,7.5918281152075,4.51733514615908,5.52490050899901,
Export value index (2015 = 100),TX.VAL.MRCH.XD.WD,26.9684061103,24.1928558655,23.4471856481,22.8632745807,22.3286803263,24.5777135057,32.1680888724,30.2836381937,19.6249318466,27.5918787256,41.769368075,35.9346005668,35.7952033916,47.8550505137,76.9293186322,100.4993896777,116.9462650663,132.638304735,171.8040322564,112.9951516741,167.276611104,231.0010343917,228.412229691,180.3302965744,205.3120804518,100,66.3177644758,88.5533943914,120.5717522759,124.5242506569,70.9602196374,93.4606036901,,,
